Date,PickupBorough,RideType,RideCount,Year,Month,Day,Season,PublicHoliday,DayOfWeek,Workday
01/01/2021,Manhattan,High Volume For-Hire Vehicle,110941,2021,1,1,Winter,1,Fri,1
01/01/2021,Brooklyn,High Volume For-Hire Vehicle,122832,2021,1,1,Winter,1,Fri,1
01/01/2021,Staten Island,Green Taxi,4,2021,1,1,Winter,1,Fri,1
01/01/2021,Manhattan,Yellow Taxi,19999,2021,1,1,Winter,1,Fri,1
01/01/2021,Queens,High Volume For-Hire Vehicle,75036,2021,1,1,Winter,1,Fri,1
01/01/2021,Brooklyn,Yellow Taxi,157,2021,1,1,Winter,1,Fri,1
01/01/2021,EWR,Yellow Taxi,0,2021,1,1,Winter,1,Fri,1
01/01/2021,EWR,High Volume For-Hire Vehicle,13,2021,1,1,Winter,1,Fri,1
01/01/2021,Queens,Green Taxi,117,2021,1,1,Winter,1,Fri,1
01/01/2021,Staten Island,High Volume For-Hire Vehicle,5541,2021,1,1,Winter,1,Fri,1
01/01/2021,Bronx,Green Taxi,41,2021,1,1,Winter,1,Fri,1
01/01/2021,EWR,Green Taxi,0,2021,1,1,Winter,1,Fri,1
01/01/2021,Manhattan,Green Taxi,346,2021,1,1,Winter,1,Fri,1
01/01/2021,Bronx,High Volume For-Hire Vehicle,78996,2021,1,1,Winter,1,Fri,1
01/01/2021,Queens,Yellow Taxi,1867,2021,1,1,Winter,1,Fri,1
01/01/2021,Staten Island,Yellow Taxi,3,2021,1,1,Winter,1,Fri,1
01/01/2021,Bronx,Yellow Taxi,95,2021,1,1,Winter,1,Fri,1
01/01/2021,Brooklyn,Green Taxi,64,2021,1,1,Winter,1,Fri,1
02/01/2021,EWR,High Volume For-Hire Vehicle,24,2021,1,2,Winter,0,Sat,0
02/01/2021,Bronx,Yellow Taxi,52,2021,1,2,Winter,0,Sat,0
02/01/2021,EWR,Green Taxi,0,2021,1,2,Winter,0,Sat,0
02/01/2021,Staten Island,High Volume For-Hire Vehicle,4863,2021,1,2,Winter,0,Sat,0
02/01/2021,Manhattan,High Volume For-Hire Vehicle,99186,2021,1,2,Winter,0,Sat,0
02/01/2021,Bronx,High Volume For-Hire Vehicle,56046,2021,1,2,Winter,0,Sat,0
02/01/2021,Staten Island,Yellow Taxi,2,2021,1,2,Winter,0,Sat,0
02/01/2021,Queens,High Volume For-Hire Vehicle,63952,2021,1,2,Winter,0,Sat,0
02/01/2021,Brooklyn,Yellow Taxi,129,2021,1,2,Winter,0,Sat,0
02/01/2021,Queens,Green Taxi,221,2021,1,2,Winter,0,Sat,0
02/01/2021,Manhattan,Green Taxi,669,2021,1,2,Winter,0,Sat,0
02/01/2021,Brooklyn,High Volume For-Hire Vehicle,96624,2021,1,2,Winter,0,Sat,0
02/01/2021,Manhattan,Yellow Taxi,28267,2021,1,2,Winter,0,Sat,0
02/01/2021,Brooklyn,Green Taxi,208,2021,1,2,Winter,0,Sat,0
02/01/2021,Queens,Yellow Taxi,2874,2021,1,2,Winter,0,Sat,0
02/01/2021,Staten Island,Green Taxi,0,2021,1,2,Winter,0,Sat,0
02/01/2021,Bronx,Green Taxi,49,2021,1,2,Winter,0,Sat,0
02/01/2021,EWR,Yellow Taxi,0,2021,1,2,Winter,0,Sat,0
03/01/2021,EWR,High Volume For-Hire Vehicle,36,2021,1,3,Winter,0,Sun,0
03/01/2021,Manhattan,Green Taxi,482,2021,1,3,Winter,0,Sun,0
03/01/2021,Manhattan,Yellow Taxi,20229,2021,1,3,Winter,0,Sun,0
03/01/2021,Bronx,Yellow Taxi,45,2021,1,3,Winter,0,Sun,0
03/01/2021,Brooklyn,Green Taxi,122,2021,1,3,Winter,0,Sun,0
03/01/2021,Brooklyn,Yellow Taxi,107,2021,1,3,Winter,0,Sun,0
03/01/2021,Bronx,High Volume For-Hire Vehicle,50298,2021,1,3,Winter,0,Sun,0
03/01/2021,Bronx,Green Taxi,32,2021,1,3,Winter,0,Sun,0
