Date,PickupBorough,RideType,RideCount,Year,Month,Day,Season,DayOfWeek,Workday
2020-01-01,Queens,FHVHV Taxi,133486,2020,1,1,Winter,Wed,1
2020-01-01,Manhattan,FHVHV Taxi,229553,2020,1,1,Winter,Wed,1
2020-01-01,EWR,FHVHV Taxi,113,2020,1,1,Winter,Wed,1
2020-01-01,Brooklyn,FHVHV Taxi,200283,2020,1,1,Winter,Wed,1
2020-01-01,Bronx,FHVHV Taxi,87859,2020,1,1,Winter,Wed,1
2020-01-01,Staten Island,FHVHV Taxi,8170,2020,1,1,Winter,Wed,1
2020-01-02,EWR,FHVHV Taxi,77,2020,1,2,Winter,Thu,1
2020-01-02,Brooklyn,FHVHV Taxi,128972,2020,1,2,Winter,Thu,1
2020-01-02,Staten Island,FHVHV Taxi,6470,2020,1,2,Winter,Thu,1
2020-01-02,Queens,FHVHV Taxi,96700,2020,1,2,Winter,Thu,1
2020-01-02,Bronx,FHVHV Taxi,64090,2020,1,2,Winter,Thu,1
2020-01-02,Manhattan,FHVHV Taxi,174635,2020,1,2,Winter,Thu,1
2020-01-03,Queens,FHVHV Taxi,108791,2020,1,3,Winter,Fri,1
2020-01-03,Brooklyn,FHVHV Taxi,151694,2020,1,3,Winter,Fri,1
2020-01-03,EWR,FHVHV Taxi,46,2020,1,3,Winter,Fri,1
2020-01-03,Staten Island,FHVHV Taxi,7979,2020,1,3,Winter,Fri,1
2020-01-03,Bronx,FHVHV Taxi,75775,2020,1,3,Winter,Fri,1
2020-01-03,Manhattan,FHVHV Taxi,215275,2020,1,3,Winter,Fri,1
2020-01-04,Bronx,FHVHV Taxi,72441,2020,1,4,Winter,Sat,0
2020-01-04,Queens,FHVHV Taxi,120426,2020,1,4,Winter,Sat,0
2020-01-04,EWR,FHVHV Taxi,54,2020,1,4,Winter,Sat,0
2020-01-04,Manhattan,FHVHV Taxi,242568,2020,1,4,Winter,Sat,0
2020-01-04,Staten Island,FHVHV Taxi,7897,2020,1,4,Winter,Sat,0
