Date,PickupBorough,RideType,RideCount,Year,Month,Day,Season,DayOfWeek,Workday
2014-01-01,Brooklyn,Green Taxi,6725,2014,1,1,Winter,Wed,1
2014-01-01,Queens,Green Taxi,8717,2014,1,1,Winter,Wed,1
2014-01-01,Manhattan,Green Taxi,6700,2014,1,1,Winter,Wed,1
2014-01-01,Bronx,Green Taxi,2879,2014,1,1,Winter,Wed,1
2014-01-01,EWR,Green Taxi,0,2014,1,1,Winter,Wed,1
2014-01-01,Staten Island,Green Taxi,9,2014,1,1,Winter,Wed,1
2014-01-02,Manhattan,Green Taxi,7051,2014,1,2,Winter,Thu,1
2014-01-02,Brooklyn,Green Taxi,3297,2014,1,2,Winter,Thu,1
2014-01-02,Staten Island,Green Taxi,9,2014,1,2,Winter,Thu,1
2014-01-02,Queens,Green Taxi,5878,2014,1,2,Winter,Thu,1
2014-01-02,EWR,Green Taxi,0,2014,1,2,Winter,Thu,1
2014-01-02,Bronx,Green Taxi,2222,2014,1,2,Winter,Thu,1
2014-01-03,Staten Island,Green Taxi,0,2014,1,3,Winter,Fri,1
2014-01-03,Manhattan,Green Taxi,4566,2014,1,3,Winter,Fri,1
2014-01-03,Brooklyn,Green Taxi,2737,2014,1,3,Winter,Fri,1
2014-01-03,EWR,Green Taxi,1,2014,1,3,Winter,Fri,1
2014-01-03,Bronx,Green Taxi,1579,2014,1,3,Winter,Fri,1
2014-01-03,Queens,Green Taxi,4254,2014,1,3,Winter,Fri,1
2014-01-04,Bronx,Green Taxi,2011,2014,1,4,Winter,Sat,0
2014-01-04,Brooklyn,Green Taxi,5938,2014,1,4,Winter,Sat,0
2014-01-04,Queens,Green Taxi,7561,2014,1,4,Winter,Sat,0
2014-01-04,EWR,Green Taxi,0,2014,1,4,Winter,Sat,0
2014-01-04,Staten Island,Green Taxi,3,2014,1,4,Winter,Sat,0
2014-01-04,Manhattan,Green Taxi,7697,2014,1,4,Winter,Sat,0
2014-01-05,Bronx,Green Taxi,1662,2014,1,5,Winter,Sun,0
2014-01-05,EWR,Green Taxi,0,2014,1,5,Winter,Sun,0
2014-01-05,Queens,Green Taxi,6572,2014,1,5,Winter,Sun,0
2014-01-05,Brooklyn,Green Taxi,5434,2014,1,5,Winter,Sun,0
2014-01-05,Staten Island,Green Taxi,1,2014,1,5,Winter,Sun,0
2014-01-05,Manhattan,Green Taxi,6381,2014,1,5,Winter,Sun,0
2014-01-06,Staten Island,Green Taxi,2,2014,1,6,Winter,Mon,1
2014-01-06,Queens,Green Taxi,6241,2014,1,6,Winter,Mon,1
2014-01-06,Manhattan,Green Taxi,7741,2014,1,6,Winter,Mon,1
2014-01-06,EWR,Green Taxi,0,2014,1,6,Winter,Mon,1
2014-01-06,Brooklyn,Green Taxi,3708,2014,1,6,Winter,Mon,1
2014-01-06,Bronx,Green Taxi,2376,2014,1,6,Winter,Mon,1
2014-01-07,Manhattan,Green Taxi,8528,2014,1,7,Winter,Tue,1
2014-01-07,Bronx,Green Taxi,2271,2014,1,7,Winter,Tue,1
2014-01-07,Staten Island,Green Taxi,5,2014,1,7,Winter,Tue,1
2014-01-07,Queens,Green Taxi,7032,2014,1,7,Winter,Tue,1
2014-01-07,Brooklyn,Green Taxi,4196,2014,1,7,Winter,Tue,1
2014-01-07,EWR,Green Taxi,0,2014,1,7,Winter,Tue,1
2014-01-08,Bronx,Green Taxi,2371,2014,1,8,Winter,Wed,1
2014-01-08,Brooklyn,Green Taxi,4334,2014,1,8,Winter,Wed,1
2014-01-08,Staten Island,Green Taxi,2,2014,1,8,Winter,Wed,1
2014-01-08,Manhattan,Green Taxi,8644,2014,1,8,Winter,Wed,1
2014-01-08,EWR,Green Taxi,0,2014,1,8,Winter,Wed,1
2014-01-08,Queens,Green Taxi,6462,2014,1,8,Winter,Wed,1
2014-01-09,Bronx,Green Taxi,2275,2014,1,9,Winter,Thu,1
2014-01-09,Queens,Green Taxi,6568,2014,1,9,Winter,Thu,1
2014-01-09,Brooklyn,Green Taxi,4931,2014,1,9,Winter,Thu,1
2014-01-09,Staten Island,Green Taxi,3,2014,1,9,Winter,Thu,1
2014-01-09,Manhattan,Green Taxi,8752,2014,1,9,Winter,Thu,1
2014-01-09,EWR,Green Taxi,0,2014,1,9,Winter,Thu,1
2014-01-10,Brooklyn,Green Taxi,6120,2014,1,10,Winter,Fri,1
2014-01-10,Staten Island,Green Taxi,3,2014,1,10,Winter,Fri,1
2014-01-10,Queens,Green Taxi,7781,2014,1,10,Winter,Fri,1
2014-01-10,Manhattan,Green Taxi,9995,2014,1,10,Winter,Fri,1
2014-01-10,EWR,Green Taxi,0,2014,1,10,Winter,Fri,1
2014-01-10,Bronx,Green Taxi,2772,2014,1,10,Winter,Fri,1
2014-01-11,Manhattan,Green Taxi,8783,2014,1,11,Winter,Sat,0
2014-01-11,Staten Island,Green Taxi,1,2014,1,11,Winter,Sat,0
2014-01-11,Brooklyn,Green Taxi,8751,2014,1,11,Winter,Sat,0
2014-01-11,Bronx,Green Taxi,2276,2014,1,11,Winter,Sat,0
2014-01-11,EWR,Green Taxi,0,2014,1,11,Winter,Sat,0
2014-01-11,Queens,Green Taxi,9262,2014,1,11,Winter,Sat,0
2014-01-12,Manhattan,Green Taxi,6889,2014,1,12,Winter,Sun,0
2014-01-12,Staten Island,Green Taxi,0,2014,1,12,Winter,Sun,0
2014-01-12,Brooklyn,Green Taxi,7113,2014,1,12,Winter,Sun,0
2014-01-12,Queens,Green Taxi,7948,2014,1,12,Winter,Sun,0
2014-01-12,EWR,Green Taxi,4,2014,1,12,Winter,Sun,0
2014-01-12,Bronx,Green Taxi,1882,2014,1,12,Winter,Sun,0
2014-01-13,Bronx,Green Taxi,2162,2014,1,13,Winter,Mon,1
2014-01-13,Queens,Green Taxi,6158,2014,1,13,Winter,Mon,1
2014-01-13,Manhattan,Green Taxi,7842,2014,1,13,Winter,Mon,1
2014-01-13,EWR,Green Taxi,0,2014,1,13,Winter,Mon,1
2014-01-13,Staten Island,Green Taxi,0,2014,1,13,Winter,Mon,1
2014-01-13,Brooklyn,Green Taxi,3900,2014,1,13,Winter,Mon,1
2014-01-14,Bronx,Green Taxi,2154,2014,1,14,Winter,Tue,1
2014-01-14,Queens,Green Taxi,6149,2014,1,14,Winter,Tue,1
2014-01-14,Brooklyn,Green Taxi,4350,2014,1,14,Winter,Tue,1
2014-01-14,EWR,Green Taxi,0,2014,1,14,Winter,Tue,1
2014-01-14,Staten Island,Green Taxi,0,2014,1,14,Winter,Tue,1
2014-01-14,Manhattan,Green Taxi,8681,2014,1,14,Winter,Tue,1
2014-01-15,Bronx,Green Taxi,2490,2014,1,15,Winter,Wed,1
2014-01-15,Manhattan,Green Taxi,9398,2014,1,15,Winter,Wed,1
2014-01-15,Queens,Green Taxi,6338,2014,1,15,Winter,Wed,1
2014-01-15,EWR,Green Taxi,0,2014,1,15,Winter,Wed,1
2014-01-15,Brooklyn,Green Taxi,4952,2014,1,15,Winter,Wed,1
2014-01-15,Staten Island,Green Taxi,0,2014,1,15,Winter,Wed,1
2014-01-16,Queens,Green Taxi,7074,2014,1,16,Winter,Thu,1
2014-01-16,Manhattan,Green Taxi,9860,2014,1,16,Winter,Thu,1
2014-01-16,EWR,Green Taxi,0,2014,1,16,Winter,Thu,1
2014-01-16,Staten Island,Green Taxi,0,2014,1,16,Winter,Thu,1
2014-01-16,Bronx,Green Taxi,2445,2014,1,16,Winter,Thu,1
2014-01-16,Brooklyn,Green Taxi,5770,2014,1,16,Winter,Thu,1
2014-01-17,Staten Island,Green Taxi,0,2014,1,17,Winter,Fri,1
2014-01-17,EWR,Green Taxi,0,2014,1,17,Winter,Fri,1
2014-01-17,Queens,Green Taxi,8398,2014,1,17,Winter,Fri,1
2014-01-17,Manhattan,Green Taxi,11423,2014,1,17,Winter,Fri,1
2014-01-17,Brooklyn,Green Taxi,7128,2014,1,17,Winter,Fri,1
2014-01-17,Bronx,Green Taxi,3149,2014,1,17,Winter,Fri,1
2014-01-18,Queens,Green Taxi,10477,2014,1,18,Winter,Sat,0
2014-01-18,Staten Island,Green Taxi,3,2014,1,18,Winter,Sat,0
2014-01-18,Brooklyn,Green Taxi,10830,2014,1,18,Winter,Sat,0
2014-01-18,EWR,Green Taxi,0,2014,1,18,Winter,Sat,0
2014-01-18,Bronx,Green Taxi,2756,2014,1,18,Winter,Sat,0
2014-01-18,Manhattan,Green Taxi,10096,2014,1,18,Winter,Sat,0
2014-01-19,Brooklyn,Green Taxi,9839,2014,1,19,Winter,Sun,0
2014-01-19,Bronx,Green Taxi,2191,2014,1,19,Winter,Sun,0
2014-01-19,Staten Island,Green Taxi,6,2014,1,19,Winter,Sun,0
2014-01-19,EWR,Green Taxi,0,2014,1,19,Winter,Sun,0
2014-01-19,Manhattan,Green Taxi,7978,2014,1,19,Winter,Sun,0
2014-01-19,Queens,Green Taxi,9547,2014,1,19,Winter,Sun,0
2014-01-20,Brooklyn,Green Taxi,5516,2014,1,20,Winter,Mon,1
2014-01-20,EWR,Green Taxi,2,2014,1,20,Winter,Mon,1
2014-01-20,Manhattan,Green Taxi,6523,2014,1,20,Winter,Mon,1
2014-01-20,Queens,Green Taxi,6320,2014,1,20,Winter,Mon,1
2014-01-20,Staten Island,Green Taxi,8,2014,1,20,Winter,Mon,1
2014-01-20,Bronx,Green Taxi,1608,2014,1,20,Winter,Mon,1
2014-01-21,Manhattan,Green Taxi,5656,2014,1,21,Winter,Tue,1
2014-01-21,Queens,Green Taxi,4550,2014,1,21,Winter,Tue,1
2014-01-21,Bronx,Green Taxi,2249,2014,1,21,Winter,Tue,1
2014-01-21,Brooklyn,Green Taxi,2566,2014,1,21,Winter,Tue,1
2014-01-21,EWR,Green Taxi,1,2014,1,21,Winter,Tue,1
2014-01-21,Staten Island,Green Taxi,1,2014,1,21,Winter,Tue,1
2014-01-22,Bronx,Green Taxi,2045,2014,1,22,Winter,Wed,1
2014-01-22,Manhattan,Green Taxi,8147,2014,1,22,Winter,Wed,1
2014-01-22,Queens,Green Taxi,6228,2014,1,22,Winter,Wed,1
2014-01-22,EWR,Green Taxi,1,2014,1,22,Winter,Wed,1
2014-01-22,Staten Island,Green Taxi,10,2014,1,22,Winter,Wed,1
2014-01-22,Brooklyn,Green Taxi,4664,2014,1,22,Winter,Wed,1
2014-01-23,EWR,Green Taxi,0,2014,1,23,Winter,Thu,1
2014-01-23,Brooklyn,Green Taxi,7066,2014,1,23,Winter,Thu,1
2014-01-23,Bronx,Green Taxi,3023,2014,1,23,Winter,Thu,1
2014-01-23,Queens,Green Taxi,8567,2014,1,23,Winter,Thu,1
2014-01-23,Manhattan,Green Taxi,10666,2014,1,23,Winter,Thu,1
2014-01-23,Staten Island,Green Taxi,10,2014,1,23,Winter,Thu,1
2014-01-24,EWR,Green Taxi,0,2014,1,24,Winter,Fri,1
2014-01-24,Brooklyn,Green Taxi,8479,2014,1,24,Winter,Fri,1
2014-01-24,Bronx,Green Taxi,3477,2014,1,24,Winter,Fri,1
2014-01-24,Queens,Green Taxi,9836,2014,1,24,Winter,Fri,1
2014-01-24,Staten Island,Green Taxi,13,2014,1,24,Winter,Fri,1
2014-01-24,Manhattan,Green Taxi,12370,2014,1,24,Winter,Fri,1
2014-01-25,Manhattan,Green Taxi,10659,2014,1,25,Winter,Sat,0
2014-01-25,Staten Island,Green Taxi,19,2014,1,25,Winter,Sat,0
2014-01-25,Queens,Green Taxi,10646,2014,1,25,Winter,Sat,0
2014-01-25,Bronx,Green Taxi,2600,2014,1,25,Winter,Sat,0
2014-01-25,Brooklyn,Green Taxi,11478,2014,1,25,Winter,Sat,0
2014-01-25,EWR,Green Taxi,0,2014,1,25,Winter,Sat,0
2014-01-26,Staten Island,Green Taxi,8,2014,1,26,Winter,Sun,0
2014-01-26,EWR,Green Taxi,0,2014,1,26,Winter,Sun,0
2014-01-26,Queens,Green Taxi,8997,2014,1,26,Winter,Sun,0
2014-01-26,Brooklyn,Green Taxi,9327,2014,1,26,Winter,Sun,0
2014-01-26,Manhattan,Green Taxi,8186,2014,1,26,Winter,Sun,0
2014-01-26,Bronx,Green Taxi,2233,2014,1,26,Winter,Sun,0
2014-01-27,Queens,Green Taxi,7298,2014,1,27,Winter,Mon,1
2014-01-27,Staten Island,Green Taxi,22,2014,1,27,Winter,Mon,1
2014-01-27,Manhattan,Green Taxi,9455,2014,1,27,Winter,Mon,1
2014-01-27,EWR,Green Taxi,0,2014,1,27,Winter,Mon,1
2014-01-27,Bronx,Green Taxi,2624,2014,1,27,Winter,Mon,1
2014-01-27,Brooklyn,Green Taxi,5270,2014,1,27,Winter,Mon,1
2014-01-28,Staten Island,Green Taxi,19,2014,1,28,Winter,Tue,1
2014-01-28,Brooklyn,Green Taxi,5904,2014,1,28,Winter,Tue,1
2014-01-28,Bronx,Green Taxi,2582,2014,1,28,Winter,Tue,1
2014-01-28,Manhattan,Green Taxi,10379,2014,1,28,Winter,Tue,1
2014-01-28,Queens,Green Taxi,7509,2014,1,28,Winter,Tue,1
2014-01-28,EWR,Green Taxi,0,2014,1,28,Winter,Tue,1
2014-01-29,Manhattan,Green Taxi,11020,2014,1,29,Winter,Wed,1
2014-01-29,Bronx,Green Taxi,2748,2014,1,29,Winter,Wed,1
2014-01-29,Queens,Green Taxi,7708,2014,1,29,Winter,Wed,1
2014-01-29,EWR,Green Taxi,1,2014,1,29,Winter,Wed,1
2014-01-29,Staten Island,Green Taxi,14,2014,1,29,Winter,Wed,1
2014-01-29,Brooklyn,Green Taxi,6789,2014,1,29,Winter,Wed,1
2014-01-30,EWR,Green Taxi,0,2014,1,30,Winter,Thu,1
2014-01-30,Queens,Green Taxi,8323,2014,1,30,Winter,Thu,1
2014-01-30,Brooklyn,Green Taxi,7427,2014,1,30,Winter,Thu,1
2014-01-30,Staten Island,Green Taxi,14,2014,1,30,Winter,Thu,1
2014-01-30,Manhattan,Green Taxi,12081,2014,1,30,Winter,Thu,1
2014-01-30,Bronx,Green Taxi,2994,2014,1,30,Winter,Thu,1
2014-01-31,EWR,Green Taxi,0,2014,1,31,Winter,Fri,1
2014-01-31,Bronx,Green Taxi,4037,2014,1,31,Winter,Fri,1
2014-01-31,Brooklyn,Green Taxi,9203,2014,1,31,Winter,Fri,1
2014-01-31,Staten Island,Green Taxi,21,2014,1,31,Winter,Fri,1
2014-01-31,Queens,Green Taxi,9622,2014,1,31,Winter,Fri,1
2014-01-31,Manhattan,Green Taxi,14252,2014,1,31,Winter,Fri,1
2014-02-01,EWR,Green Taxi,1,2014,2,1,Winter,Sat,0
2014-02-01,Brooklyn,Green Taxi,13493,2014,2,1,Winter,Sat,0
2014-02-01,Manhattan,Green Taxi,12115,2014,2,1,Winter,Sat,0
2014-02-01,Bronx,Green Taxi,3564,2014,2,1,Winter,Sat,0
2014-02-01,Staten Island,Green Taxi,14,2014,2,1,Winter,Sat,0
2014-02-01,Queens,Green Taxi,10787,2014,2,1,Winter,Sat,0
2014-02-02,Brooklyn,Green Taxi,11278,2014,2,2,Winter,Sun,0
2014-02-02,EWR,Green Taxi,0,2014,2,2,Winter,Sun,0
2014-02-02,Staten Island,Green Taxi,8,2014,2,2,Winter,Sun,0
2014-02-02,Queens,Green Taxi,9936,2014,2,2,Winter,Sun,0
2014-02-02,Manhattan,Green Taxi,9967,2014,2,2,Winter,Sun,0
2014-02-02,Bronx,Green Taxi,2860,2014,2,2,Winter,Sun,0
2014-02-03,Staten Island,Green Taxi,0,2014,2,3,Winter,Mon,1
2014-02-03,Queens,Green Taxi,6738,2014,2,3,Winter,Mon,1
2014-02-03,Manhattan,Green Taxi,8449,2014,2,3,Winter,Mon,1
2014-02-03,Brooklyn,Green Taxi,4597,2014,2,3,Winter,Mon,1
2014-02-03,EWR,Green Taxi,0,2014,2,3,Winter,Mon,1
2014-02-03,Bronx,Green Taxi,2650,2014,2,3,Winter,Mon,1
2014-02-04,Bronx,Green Taxi,3525,2014,2,4,Winter,Tue,1
2014-02-04,EWR,Green Taxi,0,2014,2,4,Winter,Tue,1
2014-02-04,Staten Island,Green Taxi,17,2014,2,4,Winter,Tue,1
2014-02-04,Queens,Green Taxi,7816,2014,2,4,Winter,Tue,1
2014-02-04,Manhattan,Green Taxi,11042,2014,2,4,Winter,Tue,1
2014-02-04,Brooklyn,Green Taxi,6239,2014,2,4,Winter,Tue,1
2014-02-05,Staten Island,Green Taxi,12,2014,2,5,Winter,Wed,1
2014-02-05,Manhattan,Green Taxi,9174,2014,2,5,Winter,Wed,1
2014-02-05,Brooklyn,Green Taxi,6392,2014,2,5,Winter,Wed,1
2014-02-05,Bronx,Green Taxi,2483,2014,2,5,Winter,Wed,1
2014-02-05,EWR,Green Taxi,1,2014,2,5,Winter,Wed,1
2014-02-05,Queens,Green Taxi,7033,2014,2,5,Winter,Wed,1
2014-02-06,EWR,Green Taxi,1,2014,2,6,Winter,Thu,1
2014-02-06,Bronx,Green Taxi,4189,2014,2,6,Winter,Thu,1
2014-02-06,Queens,Green Taxi,8998,2014,2,6,Winter,Thu,1
2014-02-06,Staten Island,Green Taxi,22,2014,2,6,Winter,Thu,1
2014-02-06,Brooklyn,Green Taxi,7912,2014,2,6,Winter,Thu,1
2014-02-06,Manhattan,Green Taxi,11629,2014,2,6,Winter,Thu,1
2014-02-07,Staten Island,Green Taxi,25,2014,2,7,Winter,Fri,1
2014-02-07,Manhattan,Green Taxi,13052,2014,2,7,Winter,Fri,1
2014-02-07,Bronx,Green Taxi,5143,2014,2,7,Winter,Fri,1
2014-02-07,Queens,Green Taxi,10821,2014,2,7,Winter,Fri,1
2014-02-07,Brooklyn,Green Taxi,9942,2014,2,7,Winter,Fri,1
2014-02-07,EWR,Green Taxi,0,2014,2,7,Winter,Fri,1
2014-02-08,Bronx,Green Taxi,3865,2014,2,8,Winter,Sat,0
2014-02-08,EWR,Green Taxi,0,2014,2,8,Winter,Sat,0
2014-02-08,Staten Island,Green Taxi,24,2014,2,8,Winter,Sat,0
2014-02-08,Brooklyn,Green Taxi,14533,2014,2,8,Winter,Sat,0
2014-02-08,Queens,Green Taxi,12841,2014,2,8,Winter,Sat,0
2014-02-08,Manhattan,Green Taxi,12951,2014,2,8,Winter,Sat,0
2014-02-09,Manhattan,Green Taxi,9325,2014,2,9,Winter,Sun,0
2014-02-09,Bronx,Green Taxi,2895,2014,2,9,Winter,Sun,0
2014-02-09,EWR,Green Taxi,0,2014,2,9,Winter,Sun,0
2014-02-09,Queens,Green Taxi,10560,2014,2,9,Winter,Sun,0
2014-02-09,Staten Island,Green Taxi,9,2014,2,9,Winter,Sun,0
2014-02-09,Brooklyn,Green Taxi,11269,2014,2,9,Winter,Sun,0
2014-02-10,Staten Island,Green Taxi,12,2014,2,10,Winter,Mon,1
2014-02-10,Bronx,Green Taxi,3913,2014,2,10,Winter,Mon,1
2014-02-10,Queens,Green Taxi,8324,2014,2,10,Winter,Mon,1
2014-02-10,EWR,Green Taxi,0,2014,2,10,Winter,Mon,1
2014-02-10,Manhattan,Green Taxi,10436,2014,2,10,Winter,Mon,1
2014-02-10,Brooklyn,Green Taxi,6359,2014,2,10,Winter,Mon,1
2014-02-11,EWR,Green Taxi,0,2014,2,11,Winter,Tue,1
2014-02-11,Queens,Green Taxi,8988,2014,2,11,Winter,Tue,1
2014-02-11,Staten Island,Green Taxi,16,2014,2,11,Winter,Tue,1
2014-02-11,Brooklyn,Green Taxi,7474,2014,2,11,Winter,Tue,1
2014-02-11,Manhattan,Green Taxi,12875,2014,2,11,Winter,Tue,1
2014-02-11,Bronx,Green Taxi,4102,2014,2,11,Winter,Tue,1
2014-02-12,Bronx,Green Taxi,5002,2014,2,12,Winter,Wed,1
2014-02-12,Queens,Green Taxi,9597,2014,2,12,Winter,Wed,1
2014-02-12,EWR,Green Taxi,0,2014,2,12,Winter,Wed,1
2014-02-12,Staten Island,Green Taxi,17,2014,2,12,Winter,Wed,1
2014-02-12,Brooklyn,Green Taxi,8627,2014,2,12,Winter,Wed,1
2014-02-12,Manhattan,Green Taxi,13330,2014,2,12,Winter,Wed,1
2014-02-13,Brooklyn,Green Taxi,5552,2014,2,13,Winter,Thu,1
2014-02-13,Bronx,Green Taxi,2376,2014,2,13,Winter,Thu,1
2014-02-13,Queens,Green Taxi,6518,2014,2,13,Winter,Thu,1
2014-02-13,EWR,Green Taxi,1,2014,2,13,Winter,Thu,1
2014-02-13,Manhattan,Green Taxi,6733,2014,2,13,Winter,Thu,1
2014-02-13,Staten Island,Green Taxi,1,2014,2,13,Winter,Thu,1
2014-02-14,Brooklyn,Green Taxi,10835,2014,2,14,Winter,Fri,1
2014-02-14,EWR,Green Taxi,2,2014,2,14,Winter,Fri,1
2014-02-14,Queens,Green Taxi,12801,2014,2,14,Winter,Fri,1
2014-02-14,Bronx,Green Taxi,6858,2014,2,14,Winter,Fri,1
2014-02-14,Staten Island,Green Taxi,16,2014,2,14,Winter,Fri,1
2014-02-14,Manhattan,Green Taxi,13574,2014,2,14,Winter,Fri,1
2014-02-15,Brooklyn,Green Taxi,13238,2014,2,15,Winter,Sat,0
2014-02-15,Bronx,Green Taxi,4988,2014,2,15,Winter,Sat,0
2014-02-15,EWR,Green Taxi,3,2014,2,15,Winter,Sat,0
2014-02-15,Staten Island,Green Taxi,13,2014,2,15,Winter,Sat,0
2014-02-15,Queens,Green Taxi,13697,2014,2,15,Winter,Sat,0
2014-02-15,Manhattan,Green Taxi,11412,2014,2,15,Winter,Sat,0
2014-02-16,Manhattan,Green Taxi,9919,2014,2,16,Winter,Sun,0
2014-02-16,Brooklyn,Green Taxi,12102,2014,2,16,Winter,Sun,0
2014-02-16,Staten Island,Green Taxi,16,2014,2,16,Winter,Sun,0
2014-02-16,Bronx,Green Taxi,3890,2014,2,16,Winter,Sun,0
2014-02-16,EWR,Green Taxi,0,2014,2,16,Winter,Sun,0
2014-02-16,Queens,Green Taxi,11671,2014,2,16,Winter,Sun,0
2014-02-17,Staten Island,Green Taxi,15,2014,2,17,Winter,Mon,1
