Date,PickupBorough,RideType,RideCount,Year,Month,Day,Season,DayOfWeek,Workday
2011-01-01,Staten Island,Yellow Taxi,13,2011,1,1,Winter,Sat,0
2011-01-01,Manhattan,Yellow Taxi,161728,2011,1,1,Winter,Sat,0
2011-01-01,Bronx,Yellow Taxi,348,2011,1,1,Winter,Sat,0
2011-01-01,EWR,Yellow Taxi,7,2011,1,1,Winter,Sat,0
2011-01-01,Queens,Yellow Taxi,9333,2011,1,1,Winter,Sat,0
2011-01-01,Brooklyn,Yellow Taxi,6632,2011,1,1,Winter,Sat,0
2011-01-02,Manhattan,Yellow Taxi,140507,2011,1,2,Winter,Sun,0
2011-01-02,EWR,Yellow Taxi,5,2011,1,2,Winter,Sun,0
2011-01-02,Queens,Yellow Taxi,10241,2011,1,2,Winter,Sun,0
2011-01-02,Staten Island,Yellow Taxi,1,2011,1,2,Winter,Sun,0
2011-01-02,Brooklyn,Yellow Taxi,3373,2011,1,2,Winter,Sun,0
2011-01-02,Bronx,Yellow Taxi,94,2011,1,2,Winter,Sun,0
2011-01-03,EWR,Yellow Taxi,3,2011,1,3,Winter,Mon,1
2011-01-03,Queens,Yellow Taxi,23761,2011,1,3,Winter,Mon,1
2011-01-03,Staten Island,Yellow Taxi,4,2011,1,3,Winter,Mon,1
2011-01-03,Manhattan,Yellow Taxi,333464,2011,1,3,Winter,Mon,1
2011-01-03,Bronx,Yellow Taxi,312,2011,1,3,Winter,Mon,1
2011-01-03,Brooklyn,Yellow Taxi,5709,2011,1,3,Winter,Mon,1
2011-01-04,Brooklyn,Yellow Taxi,5486,2011,1,4,Winter,Tue,1
2011-01-04,Manhattan,Yellow Taxi,365845,2011,1,4,Winter,Tue,1
2011-01-04,Queens,Yellow Taxi,21990,2011,1,4,Winter,Tue,1
2011-01-04,Bronx,Yellow Taxi,515,2011,1,4,Winter,Tue,1
2011-01-04,Staten Island,Yellow Taxi,5,2011,1,4,Winter,Tue,1
2011-01-04,EWR,Yellow Taxi,1,2011,1,4,Winter,Tue,1
2011-01-05,Brooklyn,Yellow Taxi,6216,2011,1,5,Winter,Wed,1
2011-01-05,Bronx,Yellow Taxi,445,2011,1,5,Winter,Wed,1
2011-01-05,Staten Island,Yellow Taxi,39,2011,1,5,Winter,Wed,1
2011-01-05,Manhattan,Yellow Taxi,398751,2011,1,5,Winter,Wed,1
2011-01-05,Queens,Yellow Taxi,19473,2011,1,5,Winter,Wed,1
2011-01-05,EWR,Yellow Taxi,3,2011,1,5,Winter,Wed,1
2011-01-06,Manhattan,Yellow Taxi,434936,2011,1,6,Winter,Thu,1
2011-01-06,Queens,Yellow Taxi,18895,2011,1,6,Winter,Thu,1
2011-01-06,Bronx,Yellow Taxi,469,2011,1,6,Winter,Thu,1
2011-01-06,Brooklyn,Yellow Taxi,7067,2011,1,6,Winter,Thu,1
2011-01-06,Staten Island,Yellow Taxi,13,2011,1,6,Winter,Thu,1
2011-01-06,EWR,Yellow Taxi,8,2011,1,6,Winter,Thu,1
2011-01-07,Staten Island,Yellow Taxi,20,2011,1,7,Winter,Fri,1
2011-01-07,Bronx,Yellow Taxi,421,2011,1,7,Winter,Fri,1
2011-01-07,Queens,Yellow Taxi,17452,2011,1,7,Winter,Fri,1
2011-01-07,EWR,Yellow Taxi,5,2011,1,7,Winter,Fri,1
2011-01-07,Manhattan,Yellow Taxi,445314,2011,1,7,Winter,Fri,1
2011-01-07,Brooklyn,Yellow Taxi,7918,2011,1,7,Winter,Fri,1
2011-01-08,Bronx,Yellow Taxi,511,2011,1,8,Winter,Sat,0
2011-01-08,Staten Island,Yellow Taxi,16,2011,1,8,Winter,Sat,0
2011-01-08,Brooklyn,Yellow Taxi,11620,2011,1,8,Winter,Sat,0
2011-01-08,Queens,Yellow Taxi,17253,2011,1,8,Winter,Sat,0
2011-01-08,EWR,Yellow Taxi,5,2011,1,8,Winter,Sat,0
2011-01-08,Manhattan,Yellow Taxi,455286,2011,1,8,Winter,Sat,0
2011-01-09,Bronx,Yellow Taxi,663,2011,1,9,Winter,Sun,0
2011-01-09,Queens,Yellow Taxi,22196,2011,1,9,Winter,Sun,0
2011-01-09,Staten Island,Yellow Taxi,14,2011,1,9,Winter,Sun,0
2011-01-09,EWR,Yellow Taxi,3,2011,1,9,Winter,Sun,0
2011-01-09,Brooklyn,Yellow Taxi,10641,2011,1,9,Winter,Sun,0
2011-01-09,Manhattan,Yellow Taxi,403016,2011,1,9,Winter,Sun,0
2011-01-10,Queens,Yellow Taxi,22272,2011,1,10,Winter,Mon,1
2011-01-10,Brooklyn,Yellow Taxi,5655,2011,1,10,Winter,Mon,1
2011-01-10,EWR,Yellow Taxi,2,2011,1,10,Winter,Mon,1
2011-01-10,Staten Island,Yellow Taxi,26,2011,1,10,Winter,Mon,1
2011-01-10,Bronx,Yellow Taxi,457,2011,1,10,Winter,Mon,1
2011-01-10,Manhattan,Yellow Taxi,407075,2011,1,10,Winter,Mon,1
